Label	Weight	Text
l_luis	1	buy share a
l_luis	1	sell c
l_luis	1	sell share c
l_luis	1	buy a
l_luis	1	can you please buy share b for me
q_qnamaker	1	Warum hat Microsoft Bot Framework entwickelt? Why did Microsoft develop the Bot Framework
q_qnamaker	1	Welche Ratenbegrenzungen gelten? What are the rate limits
q_qnamaker	1	Was ist das v4 SDK? What is the v4 SDK
q_qnamaker	1	Warum ist V4 nicht abwärtskompatibel mit V3? Why V4 is not backwards compatible with V3
q_qnamaker	1	Werden weitere Updates bereitgestellt, und wird das V3-SDK weiterentwickelt, oder werden lediglich Probleme behandelt? Will there be more updates, additional development for the V3 SDK or just bugfixes
q_qnamaker	1	Wann werden dem Bot Framework weitere Konversationsmöglichkeiten hinzugefügt? When will you add more conversation experiences to the Bot Framework
q_qnamaker	1	Sammeln Bots, die bei Bot Framework registriert sind, personenbezogene Informationen? Do the bots registered with the Bot Framework collect personal information? Wenn dies der Fall ist: Wie kann ich sicherstellen, dass die Daten sicher und geschützt sind? If yes, how can I be sure the data is safe and secure? Was ist mit Datenschutz? What about privacy
q_qnamaker	1	Welche spezifischen URLs müssen der Whitelist meiner Unternehmensfirewall hinzugefügt werden, um auf Bot Framework-Dienste Zugriff zu erhalten? Which specific URLs do I need to whitelist in my corporate firewall to access Bot Framework services
q_qnamaker	1	Wie erfolgen Ratenbegrenzungen? How does rate limiting occur
q_qnamaker	1	Was ist der Direct Line-Kanal? What is the Direct Line channel
q_qnamaker	1	Hi
q_qnamaker	1	Ich habe einen Kommunikationskanal, den ich gerne mit Bot Framework konfigurierbar machen möchte. I have a communication channel I’d like to be configurable with Bot Framework. Kann ich daran mit Microsoft zusammenarbeiten? Can I work with Microsoft to do that
q_qnamaker	1	Kann ich sämtlichen Datenverkehr an meinen Bot mit Ausnahme des Datenverkehrs vom Bot Connector-Dienst blockieren? Can I block all traffic to my bot except traffic from the Bot Connector Service
q_qnamaker	1	Kann ich meinen Bot auf meinen eigenen Servern hosten? Can I host my bot on my own servers
q_qnamaker	1	Welche Tools und Dienste sollte ich verwenden, wenn ich einen Bot für Skype erstellen möchte? If I want to create a bot for Skype, what tools and services should I use
q_qnamaker	1	Was ist Cortana Intelligence? What is Cortana Intelligence
q_qnamaker	1	Was geschieht mit meinem für REST und das Bot Framework-Protokoll 3.1 entwickelten Bot? What happens to my bot written to REST & Bot Framework Protocol 3.1
q_qnamaker	1	Wie erkenne ich, ob ich betroffen bin? How will I know if I’m impacted
q_qnamaker	1	Hallo
q_qnamaker	1	In welcher Beziehung steht Bot Framework zu Cognitive Services? How does the Bot Framework relate to Cognitive Services
q_qnamaker	1	Wie wird mein Bot vor Clients geschützt, die die Identität des Bot Framework Connector-Diensts annehmen? What keeps my bot secure from clients impersonating the Bot Framework Connector Service
q_qnamaker	1	Welche Supportpläne hat Microsoft für bereits vorhandene V3-Bots? What is Microsoft plan for supporting existing V3 bots? Was geschieht mit meinen V3-Bots? What happens to my V3 Bots? Funktionieren meine V3-Bots nicht mehr? Will my V3 bots stop working
